fid,VALUE,source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,layer,path,SAMPLE_TWI1,SAMPLE_SPI1,SAMPLE_slope1,SAMPLE_aspect1,SAMPLE_flow1,SAMPLE_road1,SAMPLE_river1,SAMPLE_LC1,SAMPLE_LC1_2,x,y,SAMPLE_rainfall1,SAMPLE_rainfall2
55,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405456.345640338,,,,,76609.6953125,29.9284687042236,212.863174438477,2559.76000976562,5234.892578125,212.132034301758,7,220.006408691406,405456.345640338,3016320.04839525,220.006408691406,255
56,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406274.239641599,,,,,141714.15625,27.6811408996582,298.237426757812,5119.52001953125,6058.29150390625,134.164077758789,4,225.572113037109,406274.239641599,3016057.15389496,225.572113037109,255
57,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410422.130647995,,,,8.59007835388184,41343.1953125,16.1511993408203,325.840301513672,2559.76000976562,9343.54296875,697.7822265625,4,255.624710083008,410422.130647995,3023418.19990307,255.624710083008,255
58,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409516.605146598,,,,,4115667,15.2160863876343,204.145538330078,270481.3125,7834.65380859375,313.209197998047,7,233.835205078125,409516.605146598,3020351.09739969,233.835205078125,255
59,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397452.668627985,,,,7.98730230331421,137989.4375,23.1030788421631,346.660766601562,5972.77294921875,1124.49987792969,540.832641601562,4,329.692749023438,397452.668627986,3001539.53537856,329.692749023438,255
60,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354279.549561417,,,,,32254.541015625,5.40026235580444,174.805572509766,5972.77294921875,4992.3642578125,150,7,293.857849121094,354279.549561417,3060106.58794348,293.857849121094,255
61,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360618.228071191,,,,5.58299732208252,25206.87109375,29.5420722961426,51.7455787658691,853.253295898438,5235.666015625,630.7138671875,4,267.636169433594,360618.228071191,3060018.95644339,267.636169433594,255
62,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369965.588085604,,,,,20120.255859375,23.5806369781494,208.072479248047,853.253295898438,8443.228515625,150,4,290.881103515625,369965.588085604,3059230.27294252,290.881103515625,255
63,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387375.046112447,,,,8.22288608551025,13594.138671875,15.9321260452271,220.135482788086,853.253295898438,5425.60595703125,492.03662109375,4,349.998687744141,387375.046112447,3000955.32537791,349.998687744141,255
64,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388543.466114248,,,,,35495.75390625,20.8002433776855,292.520568847656,1706.50659179688,4292.62158203125,60,4,348.10986328125,388543.466114248,3001305.8513783,348.10986328125,255
65,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382350.8401047,,,,12.2494010925293,8235251.5,16.8734092712402,106.389541625977,488060.90625,9166.6572265625,0,10,361.683959960938,382350.8401047,3002737.16587988,361.683959960938,255
66,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401483.717634201,,,,7.46064805984497,100250.65625,29.3730640411377,118.123733520508,3413.01318359375,5152.0576171875,474.341644287109,4,322.077758789062,401483.717634201,3002795.58687994,322.077758789062,255
67,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352994.287559436,,,,,7767.29296875,9.10315036773682,325.885528564453,853.253295898438,6738.3232421875,445.982055664062,7,306.353729248047,352994.287559436,3061333.42894484,306.353729248047,255
